imageid,url,pitch,yaw,roll,manual_pitch,manual_yaw,object_id,object_title,object_classification,object_department,object_division,object_artist,object_century,object_datebegin,object_culture,object_provenance,object_dimensions,object_medium,object_technique,object_accessionyear
454289,"https://ids.lib.harvard.edu/ids/iiif/406935690/786,276,627,836/full/0/native.jpg",2,-20,1,2,4,298238,Portrait of a Young Girl Artist,Drawings,Department of Drawings,European and American Art,Ludwig Knaus,19th century,0,German,NA,52.4 x 44 cm (20 5/8 x 17 5/16 in.),Black chalk on cream wove paper with blue fibers,NA,1943
456384,"https://ids.lib.harvard.edu/ids/iiif/417572004/468,280,976,1301/full/0/native.jpg",-2,-17,2,-5,-10,304536,"Andrew Carnegie (1835-1919),  after W. W. Ouless",Paintings,Harvard University Portrait Collection,Modern and Contemporary Art,John Young Hunter,20th century,1939,American,"Gift of Mrs. Louise Whitfield Carnegie, 1939",80.2 x 61.3 cm (31 9/16 x 24 1/8 in.)\r\nframed: 96.5 x 77.5 x 8.9 cm (38 x 30 1/2 x 3 1/2 in.),Oil on canvas,NA,NA
456386,"https://ids.lib.harvard.edu/ids/iiif/417572008/733,282,605,807/full/0/native.jpg",-7,-23,-2,0,0,304721,"Robert Morris (1734-1806), after C.W. Peale",Paintings,Harvard University Portrait Collection,Modern and Contemporary Art,Carl Peter Teigen,20th century,1927,American,NA,116.8 x 91.4 cm (46 x 36 in.),Oil on canvas,NA,NA
456508,"https://ids.lib.harvard.edu/ids/iiif/417793372/733,462,404,539/full/0/native.jpg",6,8,9,6,6,226042,Man with a Kid and Pannier,Sculpture,Busch-Reisinger Museum,European and American Art,Johann Joachim Kändler,18th century,1737,German,"Purchased in 1936 from Hyam and Co., London.",18 x 8 x 10.5 cm (7 1/16 x 3 1/8 x 4 1/8 in.),Hard-paste porcelain with polychrome enamel decoration,NA,1936
457944,"https://ids.lib.harvard.edu/ids/iiif/418483918/587,299,1095,1460/full/0/native.jpg",3,47,4,0,18,337829,Marva Nettles Collins,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37.7 x 38 cm (14 13/16 x 14 15/16 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
457946,"https://ids.lib.harvard.edu/ids/iiif/418483926/788,37,576,768/full/0/native.jpg",-3,-9,3,0,0,337824,Myrlie Evers,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",47.1 x 37.6 cm (18 9/16 x 14 13/16 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
457947,"https://ids.lib.harvard.edu/ids/iiif/418483937/835,0,1570,1551/full/0/native.jpg",22,-1,-1,-10,-2,337815,Leontyne Price,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37.3 x 37 cm (14 11/16 x 14 9/16 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
457948,"https://ids.lib.harvard.edu/ids/iiif/418483938/827,118,754,1005/full/0/native.jpg",-20,-4,-13,0,-2,337828,Janet Collins,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37.2 x 37.2 cm (14 5/8 x 14 5/8 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
457953,"https://ids.lib.harvard.edu/ids/iiif/418483961/1021,262,614,819/full/0/native.jpg",6,33,-2,0,6,337817,Ruby Middleton Forsythe,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37.8 x 37.7 cm (14 7/8 x 14 13/16 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
457953,"https://ids.lib.harvard.edu/ids/iiif/418483961/1476,1414,588,784/full/0/native.jpg",-14,-13,-12,-2,6,337817,Ruby Middleton Forsythe,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37.8 x 37.7 cm (14 7/8 x 14 13/16 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
457955,"https://ids.lib.harvard.edu/ids/iiif/418483962/987,369,720,960/full/0/native.jpg",11,-12,11,0,0,337825,Johnnie Tillmon,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",38 x 37.6 cm (14 15/16 x 14 13/16 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
457956,"https://ids.lib.harvard.edu/ids/iiif/418483969/868,198,530,707/full/0/native.jpg",12,3,0,0,0,337822,Jackie Torrence,Photographs,Department of Photographs,Modern and Contemporary Art,Brian Lanker,20th century,1987,American,"Brian Lanker, 1989, to; [Gary Schneider and John Erdman, New York] (1989-2011), gift/sale; to Harvard Art Museums, 2011. Note: Printed in collaboration with the artist or the artist's estate and retained by Schneider/Erdman per agreement.",37 x 37.1 cm (14 9/16 x 14 5/8 in.)\r\nsheet: 50.8 x 40.6 cm (20 x 16 in.),Gelatin silver print,Gelatin silver print,2011
